CONSUMO,RENDA,IDADE,LATITUDE,LONGITUDE,CLUSTER
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.94879633,-43.59929772,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",62.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",56.0,-22.90368265,-43.57355176,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",50.0,-19.95921091,-44.34377455,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",41.0,-16.25032968,-56.62089903,0
TRANS FINANC,"DE R$ 788,00 A R$ 1.140,00",50.0,-8.347316379,-36.6797,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",76.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",34.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-14.84652,-39.33237,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",34.0,-9.336372867,-50.34186634,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-7.92897,-34.85455,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",40.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",53.0,-25.36631143,-49.30922143,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-12.24630545,-38.95949091,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.94266,-51.06007,0
CIA AEREAS,"DE R$ 3.800,00 A R$ 7.600,00",57.0,,,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",73.0,-23.48479357,-46.56611429,0
HOSP E CLINICA,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-12.25157068,-38.97766932,0
LOJA DE DEPART,"DE R$ 1.900,00 A R$ 3.800,00",66.0,-23.17917,-45.84662,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",71.0,-25.52590979,-49.09326411,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-23.38261714,-46.44923714,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-7.189973366,-48.21206787,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-25.47604977,-49.26801705,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-19.9721,-44.05448,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",60.0,-10.80380023,-55.45140488,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",73.0,-22.89509714,-43.11641286,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",47.0,-7.95008625,-36.21154925,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",55.0,-11.85934491,-55.50105193,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",40.0,-10.003889,-48.995,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-21.36,-48.228333,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",40.0,-7.30312,-39.29614,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",35.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",33.0,-6.09816027,-49.89780855,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",58.0,-7.905577162,-35.18362351,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",55.0,-7.899704,-35.168006,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",52.0,-22.92646,-43.35611,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-8.137558065,-34.90597419,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",68.0,-23.54865,-46.48069,0
AGENCIA DE TUR,"DE R$ 3.800,00 A R$ 7.600,00",58.0,-22.8873178,-43.09497746,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",46.0,-25.53619808,-49.29629077,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-31.74781,-52.38659,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",43.0,-12.24346489,-38.95638021,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-19.77276053,-44.07254589,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",57.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",82.0,-25.3716992,-49.2136052,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",44.0,,,0
LOJA DE DEPART,"DE R$ 1.900,00 A R$ 3.800,00",52.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-12.23546132,-38.97014842,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",39.0,-8.15966,-70.76920329,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",30.0,-8.15966,-70.76920329,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",57.0,-27.06816447,-52.60499138,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",87.0,-23.60151,-46.50363,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-5.31504,-48.22795,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-14.07563025,-46.36506777,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-21.18591375,-50.44601125,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",35.0,-8.155604044,-70.77034587,0
LOJA DE DEPART,"DE R$ 3.800,00 A R$ 7.600,00",69.0,-22.84794,-43.27495,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",88.0,,,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",74.0,-22.8245925,-43.2820575,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",58.0,-19.82831,-43.9927,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",34.0,-8.156200168,-70.7645302,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",52.0,-8.470278,-35.728611,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",74.0,-20.24927333,-46.36722,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-23.10105654,-55.24215269,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",82.0,-21.288265,-50.32643115,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-10.92474671,-37.66146882,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-2.91495,-40.84206,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-20.41112267,-42.891292,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",63.0,-21.40450667,-50.07133397,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",50.0,-20.10280556,-42.45139889,0
AUTO PECAS,"DE R$ 3.800,00 A R$ 7.600,00",70.0,-20.36590653,-40.38675891,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",22.0,-1.60353,-47.4746686,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-32.06939115,-52.15175962,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-15.65385857,-56.13587243,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",35.0,-0.9740625,-62.9194025,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-16.66765467,-49.24685676,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.90956,-43.28642,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",71.0,-27.355,-53.555,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",92.0,-22.9252,-47.111,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",36.0,-1.523611,-46.8975,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",38.0,-13.647892,-57.906284,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",46.0,-12.24091292,-38.97694958,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",27.0,-8.168776667,-70.76521333,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",63.0,-22.52475,-48.569224,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",77.0,-25.41784921,-49.36041342,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",65.0,-20.685556,-50.554722,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-22.68515,-43.28185373,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",42.0,,,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",38.0,,,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",43.0,-10.4841175,-37.18607469,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",49.0,-28.65448667,-51.746795,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-25.59914421,-49.38985835,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",75.0,-20.95237,-50.10565,0
