CONSUMO,RENDA,IDADE,LATITUDE,LONGITUDE,CLUSTER
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",56.0,-22.88694,-43.55582,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",87.0,-23.57023205,-46.75698712,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",61.0,-25.519835,-49.22387,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",38.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-18.3786,-49.2133,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",62.0,-29.850546,-51.128442,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",37.0,-11.69932541,-62.71867595,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",94.0,-23.79008174,-45.58603957,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",46.0,,,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",70.0,-21.26038073,-45.0046022,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,,,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",57.0,-25.55905032,-49.33760026,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,,,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-25.49225807,-49.23520011,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-25.507,-49.25853,0
FARMACIAS,"DE R$ 1.900,00 A R$ 3.800,00",62.0,-29.7868175,-55.8062935,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",50.0,-25.37387,-49.23503,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",95.0,-22.91530508,-43.56822186,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",40.0,,,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",45.0,-12.95499,-38.49273,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",,-21.41413034,-45.95291525,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",35.0,-26.35983,-48.81295,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",34.0,-8.803975854,-50.4133378,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-16.00072696,-54.91905304,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,,,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-29.58181387,-51.44225223,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-32.55777,-53.37598,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-14.43578,-54.04499,0
SERVICO,"MAIOR QUE R$ 7.600,00",56.0,-22.952905,-43.17690833,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",36.0,-4.784,-48.06636,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",85.0,-8.357778,-36.696389,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",75.0,-19.78206878,-47.93809673,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",49.0,-25.5524623,-49.26764787,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",104.0,-22.927835,-43.173825,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",34.0,-10.748056,-62.215833,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-3.408401818,-39.03010691,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",33.0,-9.99988,-67.79301,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-31.73905286,-52.29644714,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",40.0,-4.584795609,-44.58492464,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",,-22.8593387,-43.26187913,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",67.0,-23.60525,-46.725655,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",53.0,-25.53658313,-49.27802875,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-31.77558,-52.35413,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",80.0,-23.55738222,-46.63965333,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",38.0,-16.691915,-49.408915,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-6.096175325,-49.84207815,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",47.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",52.0,-3.969444,-38.528056,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",51.0,-25.49617,-49.24704,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-29.688611,-51.461111,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",58.0,-22.23814188,-43.70521188,0
VAREJO,"MAIOR QUE R$ 7.600,00",56.0,-22.985675,-43.19854,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",66.0,-23.54482667,-46.64661417,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-31.77362194,-52.32604742,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",46.0,-29.37728224,-50.88039408,0
LOJA DE DEPART,"DE R$ 3.800,00 A R$ 7.600,00",49.0,-12.87876864,-38.32355773,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",68.0,-20.90862,-42.03035,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",46.0,-3.579698333,-61.40564867,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",40.0,-2.553949354,-44.1928303,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-23.63124,-46.4475,0
LOJA DE DEPART,"DE R$ 788,00 A R$ 1.140,00",41.0,-23.321484,-46.7021,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",81.0,-18.7728605,-42.9312845,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",50.0,-16.74148222,-49.26735555,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",51.0,-30.04688,-51.16053,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",89.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",33.0,-3.103439746,-60.05286466,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",83.0,-18.81910294,-42.43846235,0
FARMACIAS,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-20.5003275,-54.65268625,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-16.170278,-42.290278,0
FARMACIAS,"DE R$ 788,00 A R$ 1.140,00",24.0,-1.6893,-50.48413,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",40.0,,,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.92607955,-51.06047773,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",58.0,-22.88444786,-43.58281429,0
FARMACIAS,"DE R$ 1.900,00 A R$ 3.800,00",61.0,-22.25827,-46.14814,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",63.0,-16.7259125,-49.3842425,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",36.0,-1.470082286,-48.46528971,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-16.75885591,-49.34924965,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",47.0,-5.704665936,-48.40600037,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",79.0,-15.99381103,-41.28545806,0
SERVICO,"MAIOR QUE R$ 7.600,00",44.0,-23.214722,-47.523889,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",50.0,-23.68631,-46.59519,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-16.64431,-49.22886745,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-30.03231,-51.16867,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",74.0,-1.021667,-46.635,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",38.0,-5.090846418,-38.36289343,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",67.0,,,0
VESTUARIO,"DE R$ 3.800,00 A R$ 7.600,00",50.0,,,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",41.0,-22.86628,-43.51006,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",60.0,-28.21396569,-51.51336686,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",69.0,-8.233333,-35.796944,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",91.0,-7.575179714,-40.50033246,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",53.0,-19.1285968,-44.31709351,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-16.43137584,-49.94435574,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",42.0,-16.66488091,-49.31755249,0
RESTAURANTE,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-25.380656,-49.24527,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",43.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-18.7513675,-50.94415,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-8.118611,-35.092222,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-28.25971163,-52.40358898,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",66.0,-23.19721298,-49.38891277,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",42.0,,,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-13.54254167,-58.82169167,0
SERVICO,"MAIOR QUE R$ 7.600,00",46.0,-25.41581679,-49.25291736,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-28.387778,-53.914722,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",53.0,-8.119107768,-35.09612973,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-19.93395096,-44.0588837,0
LOJA DE DEPART,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-29.37812988,-51.15186432,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",45.0,-9.834483548,-48.72598,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",44.0,-30.704167,-52.1075,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",41.0,-15.84056,-48.05181333,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",40.0,-15.64643431,-47.76993547,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",51.0,-7.952308873,-36.21665563,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",38.0,-6.888333,-39.217778,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-22.19832968,-54.81237456,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-8.03566,-34.87593,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",68.0,-23.75441046,-46.85987262,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-15.53053636,-47.34422542,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",57.0,-21.24744,-45.02485,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-21.22308,-45.00208,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",49.0,-11.43315,-58.755945,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-20.79684507,-51.72388704,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",46.0,,,0
LOJA DE DEPART,"DE R$ 788,00 A R$ 1.140,00",56.0,-21.61,-42.836111,0
MOVEIS E DECOR,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-21.86500778,-42.66912667,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-15.5441031,-54.30051929,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-19.77665618,-44.02377912,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",51.0,-22.74814,-47.17674,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-26.393889,-52.348611,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-12.94781273,-38.45301182,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-12.86421188,-38.47456396,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",35.0,-3.786797857,-49.58006476,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",49.0,-17.5754027,-54.7582527,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",49.0,-7.838056,-38.101667,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",79.0,-7.89633,-35.1773,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",51.0,-17.87116167,-51.69672983,0
HOSP E CLINICA,"DE R$ 1.900,00 A R$ 3.800,00",52.0,-25.45214,-49.22384,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",57.0,-16.36127941,-49.50874824,0
VAREJO,"DE R$ 3.800,00 A R$ 7.600,00",42.0,-27.316111,-48.5575,0
M.O.T.O.,"MAIOR QUE R$ 7.600,00",46.0,-25.41164571,-49.26583041,0
M.O.T.O.,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-25.47789143,-49.21227214,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",45.0,-28.39907183,-54.9625069,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",80.0,-29.78532224,-55.78811925,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-7.924739577,-34.86387408,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",46.0,-29.66928611,-51.03790417,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",75.0,-28.857262,-51.277526,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",49.0,-21.18968758,-45.44769091,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",42.0,-16.76186231,-49.29221615,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-3.274722,-45.658333,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",67.0,-21.0852513,-45.57049913,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",60.0,,,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",33.0,,,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-32.05834,-52.14099,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",68.0,-22.24874207,-53.35139931,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",50.0,-8.21226,-34.92396,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",42.0,-6.531506698,-49.85218294,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-4.95305,-47.49553,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-9.906135,-56.09861,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",65.0,-23.80045727,-48.60782636,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,-3.784540429,-38.56706043,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-5.497807605,-47.48515823,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-30.01551413,-51.16343688,0
LOJA DE DEPART,"DE R$ 1.900,00 A R$ 3.800,00",41.0,-30.068898,-51.109524,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",92.0,-8.514722,-35.124444,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.58011579,-51.36619263,0
LOJA DE DEPART,"DE R$ 788,00 A R$ 1.140,00",46.0,-19.95550371,-54.89095857,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",48.0,-25.49423474,-49.30274579,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",49.0,-1.718056,-48.8825,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",64.0,-20.19871314,-50.92693328,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",83.0,-21.86492613,-42.99970677,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",53.0,-23.49372606,-46.38647972,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-19.88713385,-43.95729807,0
FARMACIAS,"DE R$ 1.900,00 A R$ 3.800,00",46.0,,,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",91.0,-8.759722,-35.104722,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",77.0,-22.9315275,-43.683145,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",45.0,-9.385552188,-40.5115325,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",51.0,-16.630825,-49.42223,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",63.0,-4.247557273,-49.94755909,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-10.23061375,-44.6393692,0
VESTUARIO,"DE R$ 788,00 A R$ 1.140,00",51.0,-30.5439181,-52.51425429,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.91239,-43.69634,0
SUPERMERCADOS,"DE R$ 788,00 A R$ 1.140,00",47.0,,,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",53.0,-19.22401998,-45.96933531,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",59.0,-11.04994127,-41.97286141,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-12.93029696,-38.49275775,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",69.0,-19.688295,-43.587085,0
SUPERMERCADOS,"DE R$ 3.800,00 A R$ 7.600,00",44.0,-30.05569,-51.0888,0
POSTO DE GAS,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.89115,-43.5331,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-29.89966973,-51.06841351,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",40.0,-2.056343757,-47.54086268,0
LOJA DE DEPART,"DE R$ 788,00 A R$ 1.140,00",44.0,-30.1165773,-51.96908371,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",53.0,-19.8187267,-44.00130196,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",50.0,-19.95921091,-44.34377455,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",50.0,-29.95719462,-51.10778231,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",97.0,-20.09291962,-42.62532811,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",49.0,-25.54110143,-49.32496429,0
SUPERMERCADOS,"DE R$ 1.900,00 A R$ 3.800,00",51.0,-28.63945927,-53.59611805,0
ARTIGOS ELETRO,"DE R$ 788,00 A R$ 1.140,00",85.0,-7.98723,-34.90121,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",76.0,,,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",45.0,-15.33686263,-43.67438368,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",47.0,-7.92897,-34.85455,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-30.04659,-51.19589,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,,,0
CIA AEREAS,"DE R$ 3.800,00 A R$ 7.600,00",57.0,,,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",48.0,-25.6272294,-48.42728162,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",62.0,-21.83832766,-45.40128422,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",43.0,-23.66534833,-46.63135333,0
SERVICO,"DE R$ 3.800,00 A R$ 7.600,00",71.0,-25.52590979,-49.09326411,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",39.0,,,0
ARTIGOS ELETRO,"DE R$ 3.800,00 A R$ 7.600,00",54.0,-22.85669,-43.38998,0
VAREJO,"DE R$ 788,00 A R$ 1.140,00",45.0,-8.020135897,-34.91809718,0
FARMACIAS,"DE R$ 3.800,00 A R$ 7.600,00",47.0,-25.50991939,-49.19188653,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",61.0,-23.62685,-45.38398,0
M.O.T.O.,"DE R$ 3.800,00 A R$ 7.600,00",64.0,-23.542806,-46.644348,0
POSTO DE GAS,"DE R$ 1.900,00 A R$ 3.800,00",44.0,-19.9721,-44.05448,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",41.0,-17.71083333,-48.14148333,0
RESTAURANTE,"DE R$ 788,00 A R$ 1.140,00",37.0,-1.47095,-48.48211,0
VAREJO,"DE R$ 1.900,00 A R$ 3.800,00",40.0,-26.27875,-48.87455,0
POSTO DE GAS,"DE R$ 788,00 A R$ 1.140,00",55.0,-11.85934491,-55.50105193,0
RESTAURANTE,"DE R$ 1.900,00 A R$ 3.800,00",54.0,-7.94910322,-36.21151424,0
VESTUARIO,"DE R$ 1.900,00 A R$ 3.800,00",43.0,-29.29251,-51.8728,0
SERVICO,"DE R$ 1.900,00 A R$ 3.800,00",104.0,-22.94931,-43.18211,0
SERVICO,"DE R$ 788,00 A R$ 1.140,00",40.0,-7.30312,-39.29614,0
